City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
noumea,0,NC,1619574779,47,-22.2763,166.4572,77.0,17.27
shahganj,0,IN,1619574894,47,26.05,82.6833,77.0,3.44
hilo,75,US,1619574417,48,19.7297,-155.09,84.2,6.91
portland,74,US,1619574808,48,45.5234,-122.6762,64.99,1.01
pouembout,6,NC,1619574729,49,-21.1333,164.9,77.67,14.45
forestville,1,US,1619574872,49,38.8451,-76.875,75.0,6.91
ndele,100,CF,1619574828,49,8.4109,20.6473,81.39,3.36
caetite,67,BR,1619574747,49,-14.0694,-42.475,70.47,8.5
sterling,1,US,1619574760,49,39.0062,-77.4286,75.0,6.91
thompson,75,CA,1619574797,50,55.7435,-97.8558,23.0,12.66
richards bay,90,US,1619574798,50,46.8361,-95.9123,55.4,5.75
tura,0,IN,1619574830,50,25.5198,90.2201,84.78,7.36
malatya,0,TR,1619574576,50,38.5,38.0,53.6,4.61
dunedin,100,NZ,1619574503,50,-45.8742,170.5036,59.0,1.99
calmar,100,CA,1619574878,51,53.2668,-113.8187,37.4,8.05
phuthaditjhaba,82,ZA,1619574893,51,-28.5242,28.8158,52.61,2.71
vao,0,NC,1619574725,51,-22.6667,167.4833,73.96,15.93
columbus,1,US,1619574889,52,39.9612,-82.9988,72.0,16.11
charters towers,1,US,1619574751,52,38.5736,-83.4333,75.2,5.75
chapais,90,CA,1619574778,53,49.7834,-74.8492,48.2,4.61
hasaki,75,JP,1619574778,53,35.7333,140.8333,72.0,11.5
ahipara,21,NZ,1619574871,54,-35.1667,173.1667,63.09,10.51
suntar,54,RU,1619574811,54,62.1444,117.6319,29.98,3.98
christchurch,5,NZ,1619574784,54,-43.5333,172.6333,57.2,6.91
ouadda,90,CF,1619574846,55,8.0777,22.4007,76.44,3.53
isla mujeres,100,PH,1619574760,55,15.8939,120.3036,87.76,7.11
santa ines,99,PH,1619574757,55,17.486,120.4348,87.82,6.69
santa cruz de tenerife,99,PH,1619574809,55,17.486,120.4348,87.82,6.69
coronado,20,US,1619574767,55,32.6859,-117.1831,61.0,13.8
santa rosa,99,PH,1619574868,55,17.486,120.4348,87.82,6.69
jardim,0,BR,1619574454,55,-21.4803,-56.1381,59.47,4.32
slupca,0,PL,1619574873,55,52.2873,17.8719,39.0,4.0
hamilton,1,US,1619574754,55,39.1834,-84.5333,72.0,5.75
lompoc,0,US,1619574776,55,34.6391,-120.4579,60.8,12.66
lancaster,1,US,1619574889,56,40.2504,-76.2499,68.0,4.61
katsuura,75,JP,1619574818,56,35.1333,140.3,71.01,24.16
tiarei,75,PF,1619574808,58,-17.5333,-149.3333,86.0,6.91
yerbogachen,11,RU,1619574812,58,61.2767,108.0108,30.83,2.95
shizunai,100,JP,1619574765,58,42.3339,142.3669,49.35,7.4
teahupoo,75,PF,1619574868,58,-17.8333,-149.2667,86.0,6.91
tautira,75,PF,1619574851,58,-17.7333,-149.15,86.0,6.91
vanavara,3,RU,1619574855,59,60.34,102.2797,33.06,4.81
coxim,0,BR,1619574557,59,-18.5067,-54.76,71.38,5.01
sadovoye,100,RU,1619574843,59,47.7764,44.5089,47.03,6.24
gat,0,IL,1619574759,59,31.61,34.7642,59.0,1.3
guerrero negro,0,MX,1619574862,59,17.6667,-100.0,74.25,8.34
nyaunglebin,58,MM,1619574783,59,17.95,96.7333,86.11,4.45
mirnyy,10,RU,1619574790,59,62.5353,113.9611,27.95,3.13
naze,75,JP,1619574756,60,28.3667,129.4833,73.4,11.5
simoes,100,BR,1619574799,60,-7.5989,-40.8178,75.13,5.46
kodinsk,0,RU,1619574792,60,58.6881,99.1844,37.58,5.93
kingaroy,0,AU,1619574741,60,-26.5333,151.8333,72.0,11.5
saint-denis,0,FR,1619574746,61,48.9167,2.3333,51.01,2.3
mareeba,40,AU,1619574531,61,-17.0,145.4333,82.99,16.11
tabuk,68,PH,1619574885,61,17.4189,121.4443,82.63,4.38
punta arenas,12,PH,1619574667,62,8.9897,125.34,85.5,2.19
grand river south east,1,US,1619574735,62,38.8755,-109.5012,54.0,6.38
verkh-usugli,100,RU,1619574876,62,52.7,115.1667,26.19,11.65
sorland,29,NO,1619574765,62,67.667,12.6934,36.99,13.09
grand gaube,1,US,1619574735,62,38.8755,-109.5012,54.0,6.38
wellington,75,NZ,1619574756,62,-41.2866,174.7756,57.99,5.75
codrington,100,AU,1619574756,62,-38.2667,141.9667,60.53,4.36
pokosnoye,6,RU,1619574877,62,55.5258,101.0536,36.95,6.82
vanimo,6,PG,1619574777,63,-2.6741,141.3028,86.41,3.62
poso,11,ID,1619574847,63,-1.3959,120.7524,86.07,2.3
tuktoyaktuk,1,CA,1619574763,63,69.4541,-133.0374,19.4,8.05
hobart,75,AU,1619574568,63,-42.8794,147.3294,64.99,11.5
hofn,8,IS,1619574762,63,64.2539,-15.2082,41.04,15.99
antofagasta,0,CL,1619574875,63,-23.65,-70.4,62.6,5.75
savelugu,100,GH,1619574895,63,9.6244,-0.8253,82.0,6.73
tual,24,ID,1619574742,63,-5.6667,132.75,83.34,2.71
solnechnyy,100,RU,1619574863,63,50.7214,136.6319,51.66,3.33
shimoda,75,JP,1619574739,63,34.6667,138.95,68.0,12.66
laurel,1,US,1619574634,63,39.0993,-76.8483,75.2,7.23
tallahassee,20,US,1619574737,64,30.4383,-84.2807,73.4,5.75
waycross,1,US,1619574867,64,31.2136,-82.354,71.6,9.22
gravdal,22,NO,1619574763,64,68.1214,13.5031,35.49,7.92
lorengau,12,PG,1619574801,65,-2.0226,147.2712,85.98,7.18
sindou,88,BF,1619574802,65,10.6667,-5.1667,79.88,5.23
belmonte,40,BR,1619574729,65,-15.8631,-38.8828,78.8,9.22
bathsheba,40,BB,1619574660,65,13.2167,-59.5167,78.8,11.5
hirara,40,JP,1619574861,65,24.8,125.2833,77.0,12.66
ishigaki,75,JP,1619574753,65,24.3448,124.1572,77.0,11.5
meadow lake,62,US,1619574836,65,45.5291,-102.2163,53.01,8.81
