,City,Country,Lat,Lng,Hotel Name
103,dunedin,NZ,-45.8742,170.5036,Hotel Saint Clair
104,calmar,CA,53.2668,-113.8187,
105,phuthaditjhaba,ZA,-28.5242,28.8158,Unathi Guest Lodge
106,vao,NC,-22.6667,167.4833,OURE TERA beach resort
107,columbus,US,39.9612,-82.9988,Renaissance Columbus Downtown Hotel
108,charters towers,US,38.5736,-83.4333,
109,chapais,CA,49.7834,-74.8492,Hôtel Opémiska
110,hasaki,JP,35.7333,140.8333,Hotel Sunrise Choshi
111,ahipara,NZ,-35.1667,173.1667,Ahipara Bay Motel
112,suntar,RU,62.1444,117.6319,Gostevoy Dom
113,christchurch,NZ,-43.5333,172.6333,Hotel Montreal
114,ouadda,CF,8.0777,22.4007,
115,isla mujeres,PH,15.8939,120.3036,
116,santa ines,PH,17.486,120.4348,
117,santa cruz de tenerife,PH,17.486,120.4348,
118,coronado,US,32.6859,-117.1831,Coronado Island Marriott Resort & Spa
119,santa rosa,PH,17.486,120.4348,
120,jardim,BR,-21.4803,-56.1381,Hotel Jardim
121,slupca,PL,52.2873,17.8719,Comfort-24
122,hamilton,US,39.1834,-84.5333,Graduate Cincinnati
123,lompoc,US,34.6391,-120.4579,Embassy Suites by Hilton Lompoc Central Coast
124,lancaster,US,40.2504,-76.2499,
125,katsuura,JP,35.1333,140.3,Katsuura Hilltop Hotel & Residence
126,tiarei,PF,-17.5333,-149.3333,Le Rocher de Tahiti
127,yerbogachen,RU,61.2767,108.0108,Sberbank Rossii
128,shizunai,JP,42.3339,142.3669,Niikappu Onsen Re-cord no Yu Hotel Hills
129,teahupoo,PF,-17.8333,-149.2667,Vanira Lodge
130,tautira,PF,-17.7333,-149.15,
131,vanavara,RU,60.34,102.2797,Sberbank Rossii
132,coxim,BR,-18.5067,-54.76,Hotel Avenida
133,sadovoye,RU,47.7764,44.5089,
134,gat,IL,31.61,34.7642,Desert Gat
135,guerrero negro,MX,17.6667,-100.0,
136,nyaunglebin,MM,17.95,96.7333,ဒေါ်ကျင်စိန်ဟိုတယ်
137,mirnyy,RU,62.5353,113.9611,AZIMUT Отель Мирный
138,naze,JP,28.3667,129.4833,Hotel New Amami
139,simoes,BR,-7.5989,-40.8178,
140,kodinsk,RU,58.6881,99.1844,
141,kingaroy,AU,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
142,saint-denis,FR,48.9167,2.3333,Terrass Hotel
143,mareeba,AU,-17.0,145.4333,Mareeba Motor Inn
144,tabuk,PH,17.4189,121.4443,Grand Zion Garden Resort Hotel
145,punta arenas,PH,8.9897,125.34,
146,grand river south east,US,38.8755,-109.5012,
147,verkh-usugli,RU,52.7,115.1667,"Gostinitsa ""Aleksandriya"""
148,sorland,NO,67.667,12.6934,
149,grand gaube,US,38.8755,-109.5012,
150,wellington,NZ,-41.2866,174.7756,Brentwood Hotel
151,codrington,AU,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
152,pokosnoye,RU,55.5258,101.0536,Sberbank Rossii
153,vanimo,PG,-2.6741,141.3028,Vanimo Beach Hotel
154,poso,ID,-1.3959,120.7524,Ancyra Hotel
155,tuktoyaktuk,CA,69.4541,-133.0374,Hunter's B&B
156,hobart,AU,-42.8794,147.3294,MACq 01 Hotel
157,hofn,IS,64.2539,-15.2082,Hótel Höfn
158,antofagasta,CL,-23.65,-70.4,Enjoy Antofagasta Hotel Del Desierto
159,savelugu,GH,9.6244,-0.8253,
160,tual,ID,-5.6667,132.75,Grand Vilia Hotel
161,solnechnyy,RU,50.7214,136.6319,Hotel complex Pastoral
